1,¿Con qué siempre debe acabar def?,return,otra función,con
2,Las listas son,Mutables,Inmutables,Tuplas
3,¿Qué es Python?,Lenguaje de programación,El juego de la víbora,La causa de mis pesadillas
4,¿Qué es panda?,Es una librería,Es un animal que come bamboo,Yo los fines de semana
5,¿A qué se refiere REGEX?,Expresiones Regulares,No sé ni siquiera puedo pronunciarlo,Es un lenguaje de programación
6,¿En qué año apareció Python?,1991,1985,1970
7,¿Qué es docstring?,"Es un comentario escrito en la primera instrucción de un módulo,  función, clase o definición de método",Es parte de definir una función,Suena a un pato
8,¿Cuál es el segundo nombre de Zahid?,Moisés,Jesús,Eduardo
9,¿Qué es IDP en Python? ,Integrated Development Environments,Individual Development Plan ,Identity Provider
10,¿Qué es una librería en programación? ,Son conjuntos de archivos de código que se utilizan para desarrollar software,Un lugar donde compras libros,Lugar donde voy a dormir donde no sé qué hacer con mi proyecto
11,"Según Zahid, ¿cuál fue la analogía para entender Git?",Omnitrix: el poderoso reloj de Ben 10,La historia de la cigüeña ,Como el América gana la liga mexicana
12,"¿Para que sirve el "":wq"" en la terminal?",Write and quit,Hacer un emoji,Borrar tu disco duro
13,"¿Para qué sirve ""q!"" en la terminal?",Forzar salida,Regresar al menú principal,Retroceder un nivel
14,¿Cuál es la diferencia de GIT y GITHUB?,GIT es local y GITHUB es colaborativo,Ojalá hubiera sido GIT para trabajar individualmente,GIT es en línea y GITHUB es local
15,"¿Para qué sirve el ""git Status""?",Para saber qué hay y qué cambios se hicieron,Para saber el status de carga de una función,Para nada
16,¿Qué es concatenar? ,Se refiere a juntar / unir  elementos,Separa elementos,Borra el último elemento
17,¿Con qué símbolo puedo hacer comentarios?,#,//,:
18,¿Con qué puedo agregar elementos a una lista?,Append,Add,Adiós Popo como el meme
19,¿Cuál es una característica de las Tuplas?,No se puede modificar,Es igual que una lista,Se acompañan con chocolate caliente
20,¿Qué es un SET?,Es un conjunto: colección de objetos con una particularidad,Cada 4 juegos ganados en un partido de tenis,Para indicar que es texto
21,¿Para qué sirve el .pop?,Quita un elemento,Para hacer palomitas,Para agregar objetos a una lista
22,¿Qué es un diccionario?,Colección de datos no ordenados que contienen un key y un value,Lo mismo con una lista,Donde buscas palabras para escribir correctamente
23,"En REGEX, ¿para qué funciona el \d?",Para reconocer números en cualquier formato incluso si son símbolos,"No sé, pero en el juego de Nay puedo aprender eso",Para ignorar el último cáracter
24,¿Cómo importo REGEX?,import re,No es necesario ya se incluye en python,Un dinosaurio que vive en México
25,¿Para qué se usa el pass?,Para que no te mande error,Para pasar al siguiente nivel,Para buscar un error en tu función
26,¿Cómo puedes generar números aleatorios con Python?,Con random,aleatory,casual
27,"¿Cuál es el output de print(str[2:]) si str = ""Hello World!""?",llo World!,Hello World!,ello World!
28,"En Venezuela, ¿cómo se le dice a hacer las compras del super?",Vamos a hacer mercado,Vamos a hacer el mandado,Vamos al tianguis
29,"En Venezuela, ¿cómo se le dice al plátano?",Cambur,Banana,Minion
30,¿Qué desayuno Zahid la clase del 15 octubre del 2022?,Pizza,Hot Dogs,Un bolillo
31,¿Cuáles son los tipos de datos básicos?,"Integer, Float, String y Boolean",Verdadero y Numérico,Décimal y texto
32,¿Quién desarrolló python?,Guido Van Rossum,Bill Gates,Steve Jobs
33,¿Qué es PEP 8?,Guía de estilo que facilita la lectura del código y la consistencia entre programas,La nueva bebida de Pepsi,"No sé, yo tomo Coca"
34,¿Cuáles son inmutables?,"Strings, Tuples y Numbers",Listas y Diccionarios ,Los muggles 
35,¿A qué edad alcanzan la madurez las crías de elefante?,Entre los 12 y 15 años,Entre los 5 y 10 años,Entre los 15 y 20 años
36,¿Qué es la filofobia?,El miedo a enamorarse,El miedo a python,El miedo a socializar
37,¿Cómo se llama el gato de Beto?,Filomena,Beto Jr,Lady Matcha
38,¿En qué año se fundó el Real Madrid?,1902,1950,1973
39,¿Cuántos capítulos hay de la Leyenda de Ang?,61,153,102
40,¿A cuál equipo de fútbol le va Zahid?,América,Cruz Azul,Chivas
